# 6442, 1590253813
#  dongle_time, rssi, ch, mac, adv_packet                                                          
    3628440,-82,37,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040560100000000000000000000000019C0
    3628461,-79,37,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407D0100000000000000000000000019C0
    3628484,-71,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DC0000000000000000000000000019C0
    3628505,-80,37,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040500100000000000000000000000019C0
    3628526,-83,37,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C50100000000000000000000000019C0
    3628547,-81,37,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040560100000000000000000000000019C0
    3630792,-79,38,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DD0000000000000000000000000019C0
    3630824,-84,38,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C60100000000000000000000000019C0
    3630874,-76,38,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407D0100000000000000000000000019C0
    3630900,-79,38,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DD0000000000000000000000000019C0
    3630926,-84,38,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C60100000000000000000000000019C0
    3630980,-76,38,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407D0100000000000000000000000019C0
    3631004,-79,38,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DD0000000000000000000000000019C0
    3631083,-76,38,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407D0100000000000000000000000019C0
    3633377,-84,39,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040570100000000000000000000000019C0
    3633398,-87,39,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407E0100000000000000000000000019C0
    3633429,-76,39,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DD0000000000000000000000000019C0
    3633454,-91,39,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040510100000000000000000000000019C0
    3633481,-84,39,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040570100000000000000000000000019C0
    3633504,-86,39,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407E0100000000000000000000000019C0
    3633537,-76,39,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DD0000000000000000000000000019C0
    3633586,-84,39,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040570100000000000000000000000019C0
    3633610,-87,39,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407E0100000000000000000000000019C0
    3633637,-76,39,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DD0000000000000000000000000019C0
    3633668,-88,39,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040510100000000000000000000000019C0
    3635943,-68,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DD0000000000000000000000000019C0
