local_time, rssi, channel, remote_mac, rpi
1590164299.16, -79, 38, CE:EE:EC:4E:C5:30, 00000040DC08C00140C2C000C00140C2C00019C0FEEDBEEF
1590164299.29, -73, 39, CE:EE:EC:4E:C5:30, 00000040DC08C00140C2C000C00140C2C00019C0FEEDBEEF
1590164299.43, -78, 38, CE:EE:EC:4E:C5:30, 00000040DD08C00180C18000C00180C1800019C0FEEDBEEF
1590164299.63, -74, 39, CE:EE:EC:4E:C5:30, 00000040DE08400100C24001400100C2400119C0FEEDBEEF
1590164299.69, -75, 39, CE:EE:EC:4E:C5:30, 00000040DE08400100C24001400100C2400119C0FEEDBEEF
1590164299.76, -74, 39, CE:EE:EC:4E:C5:30, 00000040DF08000200C20000000200C2000019C0FEEDBEEF
1590164300.03, -74, 39, CE:EE:EC:4E:C5:30, 00000040E1080002C0C180010002C0C1800119C0FEEDBEEF
1590164300.30, -74, 39, CE:EE:EC:4E:C5:30, 00000040E1080002C0C180010002C0C1800119C0FEEDBEEF
1590164300.36, -78, 38, CE:EE:EC:4E:C5:30, 00000040E208C00180C1C001C00180C1C00119C0FEEDBEEF
1590164300.56, -74, 39, CE:EE:EC:4E:C5:30, 00000040E208C00180C1C001C00180C1C00119C0FEEDBEEF
1590164300.62, -74, 39, CE:EE:EC:4E:C5:30, 00000040E308800100C28001800100C2800119C0FEEDBEEF
1590164300.89, -74, 39, CE:EE:EC:4E:C5:30, 00000040E408C00100C2C001C00100C2C00119C0FEEDBEEF
1590164300.96, -79, 38, CE:EE:EC:4E:C5:30, 00000040E5080002C0C140010002C0C1400119C0FEEDBEEF
1590164301.16, -74, 39, CE:EE:EC:4E:C5:30, 00000040E5080002C0C140010002C0C1400119C0FEEDBEEF
1590164301.22, -74, 39, CE:EE:EC:4E:C5:30, 00000040E608400240C18001400240C1800119C0FEEDBEEF
1590164301.50, -74, 39, CE:EE:EC:4E:C5:30, 00000040E7088001C0C140018001C0C1400119C0FEEDBEEF
1590164301.56, -78, 38, CE:EE:EC:4E:C5:30, 00000040E7088001C0C140018001C0C1400119C0FEEDBEEF
1590164301.70, -74, 39, CE:EE:EC:4E:C5:30, 00000040E808000200C20001000200C2000119C0FEEDBEEF
1590164301.77, -74, 39, CE:EE:EC:4E:C5:30, 00000040E808000200C20001000200C2000119C0FEEDBEEF
1590164301.84, -74, 39, CE:EE:EC:4E:C5:30, 00000040E9080002C0C180010002C0C1800119C0FEEDBEEF
1590164302.10, -74, 39, CE:EE:EC:4E:C5:30, 00000040EB080002C0C1C0010002C0C1C00119C0FEEDBEEF
1590164302.37, -74, 39, CE:EE:EC:4E:C5:30, 00000040EB080002C0C1C0010002C0C1C00119C0FEEDBEEF
1590164302.43, -78, 38, CE:EE:EC:4E:C5:30, 00000040EC08000240C20001000240C2000119C0FEEDBEEF
1590164302.57, -74, 39, CE:EE:EC:4E:C5:30, 00000040EC08000240C20001000240C2000119C0FEEDBEEF
1590164302.71, -75, 39, CE:EE:EC:4E:C5:30, 00000040EE08800100C20001800100C2000119C0FEEDBEEF
1590164302.98, -74, 39, CE:EE:EC:4E:C5:30, 00000040EE08800100C20001800100C2000119C0FEEDBEEF
1590164303.05, -78, 38, CE:EE:EC:4E:C5:30, 00000040EF088001C0C180018001C0C1800119C0FEEDBEEF
1590164303.18, -77, 38, CE:EE:EC:4E:C5:30, 00000040EF088001C0C180018001C0C1800119C0FEEDBEEF
1590164303.24, -74, 39, CE:EE:EC:4E:C5:30, 00000040EF088001C0C180018001C0C1800119C0FEEDBEEF
1590164303.32, -78, 38, CE:EE:EC:4E:C5:30, 00000040F008C001C0C10001C001C0C1000119C0FEEDBEEF
1590164303.52, -74, 39, CE:EE:EC:4E:C5:30, 00000040F108C00100C28001C00100C2800119C0FEEDBEEF
1590164303.59, -74, 39, CE:EE:EC:4E:C5:30, 00000040F108C00100C28001C00100C2800119C0FEEDBEEF
1590164303.66, -77, 38, CE:EE:EC:4E:C5:30, 00000040F208800180C10001800180C1000119C0FEEDBEEF
1590164303.80, -74, 39, CE:EE:EC:4E:C5:30, 00000040F208800180C10001800180C1000119C0FEEDBEEF
1590164303.86, -74, 39, CE:EE:EC:4E:C5:30, 00000040F208800180C10001800180C1000119C0FEEDBEEF
1590164303.94, -78, 38, CE:EE:EC:4E:C5:30, 00000040F308800140C20001800140C2000119C0FEEDBEEF
1590164304.07, -78, 38, CE:EE:EC:4E:C5:30, 00000040F308800140C20001800140C2000119C0FEEDBEEF
1590164304.14, -74, 39, CE:EE:EC:4E:C5:30, 00000040F4084001C0C1C0004001C0C1C00019C0FEEDBEEF
1590164304.21, -75, 39, CE:EE:EC:4E:C5:30, 00000040F508C00180C10001C00180C1000119C0FEEDBEEF
1590164304.47, -74, 39, CE:EE:EC:4E:C5:30, 00000040F508C00180C10001C00180C1000119C0FEEDBEEF
1590164304.53, -77, 38, CE:EE:EC:4E:C5:30, 00000040F608800100C2C000800100C2C00019C0FEEDBEEF
1590164304.73, -74, 39, CE:EE:EC:4E:C5:30, 00000040F708C00180C1C000C00180C1C00019C0FEEDBEEF
1590164304.81, -78, 38, CE:EE:EC:4E:C5:30, 00000040F808C00140C18001C00140C1800119C0FEEDBEEF
1590164305.01, -74, 39, CE:EE:EC:4E:C5:30, 00000040F808C00140C18001C00140C1800119C0FEEDBEEF
1590164305.08, -74, 39, CE:EE:EC:4E:C5:30, 00000040F808C00140C18001C00140C1800119C0FEEDBEEF
1590164305.15, -78, 38, CE:EE:EC:4E:C5:30, 00000040F908000240C2C000000240C2C00019C0FEEDBEEF
1590164305.35, -74, 39, CE:EE:EC:4E:C5:30, 00000040FA08C001C0C10001C001C0C1000119C0FEEDBEEF
1590164305.41, -78, 38, CE:EE:EC:4E:C5:30, 00000040FB08C00180C14001C00180C1400119C0FEEDBEEF
1590164305.61, -74, 39, CE:EE:EC:4E:C5:30, 00000040FB08C00180C14001C00180C1400119C0FEEDBEEF
1590164305.68, -74, 39, CE:EE:EC:4E:C5:30, 00000040FB08C00180C14001C00180C1400119C0FEEDBEEF
1590164305.74, -74, 39, CE:EE:EC:4E:C5:30, 00000040FD08800180C14001800180C1400119C0FEEDBEEF
1590164306.01, -74, 39, CE:EE:EC:4E:C5:30, 00000040FE088002C0C100018002C0C1000119C0FEEDBEEF
1590164306.35, -78, 38, CE:EE:EC:4E:C5:30, 00000040FF08000240C14001000240C1400119C0FEEDBEEF
1590164306.56, -74, 39, CE:EE:EC:4E:C5:30, 0000004000098001C0C100018001C0C1000119C0FEEDBEEF
1590164306.63, -76, 38, CE:EE:EC:4E:C5:30, 0000004000098001C0C100018001C0C1000119C0FEEDBEEF
1590164306.77, -77, 38, CE:EE:EC:4E:C5:30, 000000400109C001C0C10001C001C0C1000119C0FEEDBEEF
1590164306.84, -74, 39, CE:EE:EC:4E:C5:30, 000000400109C001C0C10001C001C0C1000119C0FEEDBEEF
1590164306.91, -75, 39, CE:EE:EC:4E:C5:30, 000000400209000200C2C001000200C2C00119C0FEEDBEEF
1590164307.17, -74, 39, CE:EE:EC:4E:C5:30, 0000004003098001C0C140018001C0C1400119C0FEEDBEEF
1590164307.24, -77, 38, CE:EE:EC:4E:C5:30, 000000400409000200C20001000200C2000119C0FEEDBEEF
1590164307.44, -75, 39, CE:EE:EC:4E:C5:30, 000000400409000200C20001000200C2000119C0FEEDBEEF
1590164307.50, -77, 38, CE:EE:EC:4E:C5:30, 000000400509C00140C24001C00140C2400119C0FEEDBEEF
1590164307.71, -74, 39, CE:EE:EC:4E:C5:30, 000000400509C00140C24001C00140C2400119C0FEEDBEEF
1590164307.77, -75, 39, CE:EE:EC:4E:C5:30, 0000004006098001C0C180018001C0C1800119C0FEEDBEEF
