local_time, rssi, channel, remote_mac, rpi
1590444593.29, -69, 38, CE:EE:EC:4E:C5:30, 00000040970F8042400280FD8042400280FD19C0FEEDBEEF
1590444593.35, -69, 38, CE:EE:EC:4E:C5:30, 00000040970F8042400280FD8042400280FD19C0FEEDBEEF
1590444593.42, -65, 39, CE:EE:EC:4E:C5:30, 00000040980F4042000280FD4042000280FD19C0FEEDBEEF
1590444593.48, -65, 37, CE:EE:EC:4E:C5:30, 00000040980F4042000280FD4042000280FD19C0FEEDBEEF
1590444593.55, -65, 37, CE:EE:EC:4E:C5:30, 00000040980F4042000280FD4042000280FD19C0FEEDBEEF
1590444593.61, -69, 38, CE:EE:EC:4E:C5:30, 00000040990F4042000280FD4042000280FD19C0FEEDBEEF
1590444593.68, -65, 39, CE:EE:EC:4E:C5:30, 00000040990F4042000280FD4042000280FD19C0FEEDBEEF
1590444593.75, -65, 39, CE:EE:EC:4E:C5:30, 00000040990F4042000280FD4042000280FD19C0FEEDBEEF
1590444593.82, -65, 37, CE:EE:EC:4E:C5:30, 000000409A0F0042000240FD0042000240FD19C0FEEDBEEF
1590444593.88, -70, 38, CE:EE:EC:4E:C5:30, 000000409A0F0042000240FD0042000240FD19C0FEEDBEEF
1590444593.96, -64, 39, CE:EE:EC:4E:C5:30, 000000409A0F0042000240FD0042000240FD19C0FEEDBEEF
1590444594.03, -65, 39, CE:EE:EC:4E:C5:30, 000000409B0F80428002C0FD80428002C0FD19C0FEEDBEEF
