# 6201, 1589651660
#  dongle_time, rssi, mac, adv_packet                                                              
     789273, -65, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400F0100000000000000000000000019C0
     789313, -65, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040900200000000000000000000000019C0
     789421, -65, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040900200000000000000000000000019C0
     791761, -63, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040900200000000000000000000000019C0
     791782, -63, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400F0100000000000000000000000019C0
     791864, -64, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040900200000000000000000000000019C0
     791885, -64, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400F0100000000000000000000000019C0
     791973, -65, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040900200000000000000000000000019C0
     794286, -73, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040910200000000000000000000000019C0
     794327, -60, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400F0100000000000000000000000019C0
     794387, -73, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040910200000000000000000000000019C0
     794428, -62, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD000000400F0100000000000000000000000019C0
     794488, -72, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040910200000000000000000000000019C0
     796866, -64, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040100100000000000000000000000019C0
     796894, -73, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040910200000000000000000000000019C0
     796971, -64, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040100100000000000000000000000019C0
     797001, -71, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040910200000000000000000000000019C0
     797106, -71, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040910200000000000000000000000019C0
     799407, -63, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040100100000000000000000000000019C0
     799428, -69, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040910200000000000000000000000019C0
     799512, -68, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040910200000000000000000000000019C0
     799533, -63, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040100100000000000000000000000019C0
