local_time, dongle_time, rssi, remote_mac, remote_adv
1588805577.49,      3664074, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805577.60,      3664180, -51, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805577.71,      3664286, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805577.81,      3664389, -51, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805577.91,      3664493, -53, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805578.02,      3664594, -51, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805578.12,      3664696, -53, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805578.22,      3664801, -53, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805578.33,      3664904, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805578.43,      3665007, -53, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805578.53,      3665224, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805578.75,      3665331, -51, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805578.86,      3665442, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805578.97,      3665547, -53, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805579.07,      3665656, -51, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805579.18,      3665765, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805579.29,      3665870, -51, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805579.40,      3665972, -53, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805579.50,      3666072, -51, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805579.60,      3666180, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805579.71,      3666286, -53, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805579.81,      3666389, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805579.92,      3666492, -51, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805580.02,      3666603, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805580.13,      3666704, -51, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805580.23,      3666815, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805580.34,      3666916, -51, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805580.44,      3667026, -53, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805580.55,      3667128, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805580.65,      3667227, -53, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805580.75,      3667332, -53, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805580.86,      3667435, -51, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805580.96,      3667543, -53, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805581.07,      3667650, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805581.18,      3667758, -53, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805581.28,      3667861, -50, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805581.39,      3667967, -53, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805581.49,      3668174, -53, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805581.70,      3668391, -53, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
1588805581.92,      3668498, -53, E1:9E:4A:98:54:22, 020A0002010603036FFD13166FFD000102030405060708090A0B0C0D0E0F
